station_id,name,location,state
02419890,"Tallapoosa River Near Mont.-Mont. Water Works, AL",Tallapoosa River Near Mont.-Mont. Water Works,AL
02419892,"Harwell Mill Creek Nr Montgomery, AL",Harwell Mill Creek Nr Montgomery,AL
0241998804,"Tributary To Cypress Creek Nr. Hale St., AL",Tributary To Cypress Creek Nr. Hale St.,AL
0241998806,"Cypress Creek At Morningstar Church Ped Bridge, AL",Cypress Creek At Morningstar Church Ped Bridge,AL
0241998807,"Cypress Creek At Tunnel Below Mcdonough St., AL",Cypress Creek At Tunnel Below Mcdonough St.,AL
02420268,"Autauga Creek At Co.Rd. 20 Nr. White City, AL",Autauga Creek At Co.Rd. 20 Nr. White City,AL
02420270,"Autauga Creek Near White City Al, AL",Autauga Creek Near White City Al,AL
02420275,"Autauga Cr. At Co.Rd. 40 Nr. Old Kingston, AL",Autauga Cr. At Co.Rd. 40 Nr. Old Kingston,AL
02420280,"Autauga Cr. At Co. Rd. 63 Nr. Booth, AL",Autauga Cr. At Co. Rd. 63 Nr. Booth,AL
02420290,"Autauga Creek At County Road 10 Near Booth, AL",Autauga Creek At County Road 10 Near Booth,AL
02420330,"Bridge Creek At Co. Rd. 59 Nr. Pine Level, AL",Bridge Creek At Co. Rd. 59 Nr. Pine Level,AL
02420340,"Bridge Creek At Co.Rd. 57 Nr. Prattville, AL",Bridge Creek At Co.Rd. 57 Nr. Prattville,AL
02420345,"Bridge Creek At County Road 10 Near Prattville, AL",Bridge Creek At County Road 10 Near Prattville,AL
02420355,"Breakfast Creek At Co Rd 57 Near Prattville, AL",Breakfast Creek At Co Rd 57 Near Prattville,AL
02420400,"Autauga Creek Adj To Us Hwy 82 Nr.Prattville, AL",Autauga Creek Adj To Us Hwy 82 Nr.Prattville,AL
02423110,"Cahaba River Near Trussville, AL",Cahaba River Near Trussville,AL
02423160,"Cahaba River Near Whites Chapel Al, AL",Cahaba River Near Whites Chapel Al,AL
02423380,"Cahaba River Near Mountain Brook Al, AL",Cahaba River Near Mountain Brook Al,AL
0242354650,"Cahaba Valley Cr At Indian Trail Rd Nr Indian Sprs, AL",Cahaba Valley Cr At Indian Trail Rd Nr Indian Sprs,AL
02423571,"Shades Creek At Elder St Near Springdale Al, AL",Shades Creek At Elder St Near Springdale Al,AL
02423586,"Shades Creek Nr Homewood, AL",Shades Creek Nr Homewood,AL
02423630,"Shades Creek Near Greenwood Al, AL",Shades Creek Near Greenwood Al,AL
02424000,"Cahaba River At Centreville Al, AL",Cahaba River At Centreville Al,AL
02429500,"Alabama River At Claiborne Al, AL",Alabama River At Claiborne Al,AL
02450180,"Mulberry Fork Near Arkadelphia, AL",Mulberry Fork Near Arkadelphia,AL
02450250,"Sipsey Fork Near Grayson Al, AL",Sipsey Fork Near Grayson Al,AL
02453000,"Blackwater Creek Near Manchester Al, AL",Blackwater Creek Near Manchester Al,AL
02454055,"Lost Creek Above Parrish, AL",Lost Creek Above Parrish,AL
02456500,"Locust Fork At Sayre, AL",Locust Fork At Sayre,AL
02456999,"Fivemile Creek At Tarrant Park Near Tarrant, AL",Fivemile Creek At Tarrant Park Near Tarrant,AL
02457502,"Fivemile Cr. Below Springdale Rd. Near Tarrant, AL",Fivemile Cr. Below Springdale Rd. Near Tarrant,AL
02457503,"Fivemile Creek Above Vulcan Rivet & Bolt Ditch, AL",Fivemile Creek Above Vulcan Rivet & Bolt Ditch,AL
02457510,"Fivemile Creek At Lewisburg, AL",Fivemile Creek At Lewisburg,AL
0245758910,"Black Creek At Bridge Above Acid Mine Drainage, AL",Black Creek At Bridge Above Acid Mine Drainage,AL
02457595,"Fivemile Creek Near Republic, AL",Fivemile Creek Near Republic,AL
02457599,"Fivemile Creek At Republic, AL",Fivemile Creek At Republic,AL
02457635,"Fivemile Cr At Cardiff Rd Bridge At Brookside, AL",Fivemile Cr At Cardiff Rd Bridge At Brookside,AL
02457700,"Fivemile Creek At Linn Crossing Al, AL",Fivemile Creek At Linn Crossing Al,AL
02461405,"Valley Creek Below Brighton, AL",Valley Creek Below Brighton,AL
02462000,"Valley Creek Near Oak Grove Al, AL",Valley Creek Near Oak Grove Al,AL
02464000,"North River Near Samantha Al, AL",North River Near Samantha Al,AL
02470375,"Bilbo Creek Below Confluence With Bates Creek, AL",Bilbo Creek Below Confluence With Bates Creek,AL
02470617,"Cedar Creek Above Mobile R. At Bucks (Usfws 12), AL",Cedar Creek Above Mobile R. At Bucks (Usfws 12),AL
02470705,"Mobile R. Above City Of Mobile, AL",Mobile R. Above City Of Mobile,AL
02471001,"Chickasaw Creek Near Kushla Al, AL",Chickasaw Creek Near Kushla Al,AL
0247101910,"Tensaw River Below Mobile R. & Abv I-65 (Usfws 6), AL",Tensaw River Below Mobile R. & Abv I-65 (Usfws 6),AL
0247103210,"Tensaw River Above Blakeley State Park, AL",Tensaw River Above Blakeley State Park,AL
03572690,"South Sauty Creek Near Rainsville, AL",South Sauty Creek Near Rainsville,AL
03574100,"Estill Fork At Estillfork Al, AL",Estill Fork At Estillfork Al,AL
03576250,"Limestone Creek Near Athens Al, AL",Limestone Creek Near Athens Al,AL
03587320,"Bluewater Creek Nr Antioch, AL",Bluewater Creek Nr Antioch,AL
03590945,"Second Creek At Manbone Road Nr Waterloo, AL",Second Creek At Manbone Road Nr Waterloo,AL
301329088003000,"Dwh Gom Oil Spill Fort Morgan Al-4, AL",Dwh Gom Oil Spill Fort Morgan Al-4,AL
301338088193500,"Dwh Gom Oil Spill West Dauphin Island, AL",Dwh Gom Oil Spill West Dauphin Island,AL
301341087495200,"Dwh Gom Oil Spill Fort Morgan Blm-3, AL",Dwh Gom Oil Spill Fort Morgan Blm-3,AL
301349087541600,"Dwh Goa Oil Spill Fort Morgan Al-5, AL",Dwh Goa Oil Spill Fort Morgan Al-5,AL
301353087561600,"Dhw Gom Oil Spill Blm-1, AL",Dhw Gom Oil Spill Blm-1,AL
301354088015101,"Mobile Bay Mouth At Ft. Morgan, AL",Mobile Bay Mouth At Ft. Morgan,AL
301448088044000,"Dwh Gom Oil Spill Dauphin Is. Al-3, AL",Dwh Gom Oil Spill Dauphin Is. Al-3,AL
301847087560901,"Bon Secour Bay Between Weeks Bay And Ft. Morgan, AL",Bon Secour Bay Between Weeks Bay And Ft. Morgan,AL
302234087501201,"Mouth Of Weeks Bay At Fish River Point, AL",Mouth Of Weeks Bay At Fish River Point,AL
302334087494601,"Middle Of Weeks Bay At Mouth Of Magnolia R., AL",Middle Of Weeks Bay At Mouth Of Magnolia R.,AL
303231087525801,"Well Ag & Industries 7 Baldwin Cnty Al, AL",Well Ag & Industries 7 Baldwin Cnty Al,AL
303252087500801,"Well Ag & Industries 6 Baldwin Cnty Al, AL",Well Ag & Industries 6 Baldwin Cnty Al,AL
303432087485501,"Well Ag & Industries 5 Baldwin Cnty Al, AL",Well Ag & Industries 5 Baldwin Cnty Al,AL
305421087560701,"The Basin - Lower Mobile River Delta Usfws Site 15, AL",The Basin - Lower Mobile River Delta Usfws Site 15,AL
310153085225901,"Well S 10 310153085225901 Houston Cnty Al, AL",Well S 10 310153085225901 Houston Cnty Al,AL
322235086182101,"Well J 132-2009 Monitor Well Ccp-09S   Al, AL",Well J 132-2009 Monitor Well Ccp-09S   Al,AL
322241086181401,"Well J 133-2009 Monitor Well Ccp-10S   Al, AL",Well J 133-2009 Monitor Well Ccp-10S   Al,AL
322244086182701,"Well J 126-2009 Monitor Well Ccp-04S   Al, AL",Well J 126-2009 Monitor Well Ccp-04S   Al,AL
322245086181801,"Well J 123-2009 Ccp-01S Monitor Well   Al, AL",Well J 123-2009 Ccp-01S Monitor Well   Al,AL
322245086181802,"Well J 124-2009 Ccp-01I Montgomery Cnty Al, AL",Well J 124-2009 Ccp-01I Montgomery Cnty Al,AL
322247086181001,"Well J 127-2009 Monitor Well Ccp-05I   Al, AL",Well J 127-2009 Monitor Well Ccp-05I   Al,AL
322249086181701,"Well J 125-2009 Ccp-02S Montgomery Cnty Al, AL",Well J 125-2009 Ccp-02S Montgomery Cnty Al,AL
322250086182001,"Well J 127-2009 Monitor Well Ccp-07S   Al, AL",Well J 127-2009 Monitor Well Ccp-07S   Al,AL
322250086182002,"Well J 129-2009 Monitor Well Ccp-07I   Al, AL",Well J 129-2009 Monitor Well Ccp-07I   Al,AL
322256086182301,"Well J 130-2009 Monitor Well Ccp-08S   Al, AL",Well J 130-2009 Monitor Well Ccp-08S   Al,AL
322256086182302,"Well J 131-2009 Monitor Well Ccp-08I   Al, AL",Well J 131-2009 Monitor Well Ccp-08I   Al,AL
322303086182301,"Well J 134-2009 Monitor Well Ccp-12S   Al, AL",Well J 134-2009 Monitor Well Ccp-12S   Al,AL
322303086182302,"Well J 135-2009 Monitor Well Ccp-12I   Al, AL",Well J 135-2009 Monitor Well Ccp-12I   Al,AL
332341086244001,"Sp  G 2 City Of Vincent 332341086244001 Al, AL",Sp  G 2 City Of Vincent 332341086244001 Al,AL
344124086531401,"Ehr-Lus18, AL",Ehr-Lus18,AL
344131087335201,"Ehr-Lus33, AL",Ehr-Lus33,AL
344348086493401,"Ehr-Lus35, AL",Ehr-Lus35,AL
345112086313401,"Ehr-Lus13, AL",Ehr-Lus13,AL
345822086254001,"Ehr-Lus11, AL",Ehr-Lus11,AL
15007990,"Cascade R Nr Hyder Ak, AK",Cascade R Nr Hyder Ak,AK
15008000,"Salmon R Nr Hyder Ak, AK",Salmon R Nr Hyder Ak,AK
15008010,"Texas C Nr Hyder Ak, AK",Texas C Nr Hyder Ak,AK
15015591,"Unuk R At International Boundary Nr Wrangell Ak, AK",Unuk R At International Boundary Nr Wrangell Ak,AK
15015593,"Unuk R 1 Mi Ab Blue River Nr Wrangell Ak, AK",Unuk R 1 Mi Ab Blue River Nr Wrangell Ak,AK
15015594,"Blue R Nr Wrangell Ak, AK",Blue R Nr Wrangell Ak,AK
15015595,"Unuk R Bl Blue R Nr Wrangell Ak, AK",Unuk R Bl Blue R Nr Wrangell Ak,AK
15015599,"Eulachon R Nr Wrangell Ak, AK",Eulachon R Nr Wrangell Ak,AK
15024740,"Stikine R 2 Mi Bl Us/Canada Border Nr Wrangell Ak, AK",Stikine R 2 Mi Bl Us/Canada Border Nr Wrangell Ak,AK
15024800,"Stikine R Nr Wrangell Ak, AK",Stikine R Nr Wrangell Ak,AK
15041140,"Taku R At Us/Canada Border Nr Juneau Ak, AK",Taku R At Us/Canada Border Nr Juneau Ak,AK
15041200,"Taku R Nr Juneau Ak, AK",Taku R Nr Juneau Ak,AK
15056500,"Chilkat R Nr Klukwan Ak, AK",Chilkat R Nr Klukwan Ak,AK
15056560,"Klehini R Nr Klukwan Ak, AK",Klehini R Nr Klukwan Ak,AK
15129120,"Alsek R At Dry Bay Nr Yakutat Ak, AK",Alsek R At Dry Bay Nr Yakutat Ak,AK
15209700,"Wf Kennicott R At Mccarthy Ak, AK",Wf Kennicott R At Mccarthy Ak,AK
15209770,"National C Nr Mccarthy Ak, AK",National C Nr Mccarthy Ak,AK
15210200,"Lakina R Nr Mccarthy Ak, AK",Lakina R Nr Mccarthy Ak,AK
15210250,"Long Lake C Trib 2 At Mccarthy Rd Nr Mccarthy Ak, AK",Long Lake C Trib 2 At Mccarthy Rd Nr Mccarthy Ak,AK
15210260,"Long Lake Trib 1 150 Ft Ab Mouth Nr Mccarthy Ak, AK",Long Lake Trib 1 150 Ft Ab Mouth Nr Mccarthy Ak,AK
15210300,"Long Lake C At Mccarthy Rd Nr Mccarthy Ak, AK",Long Lake C At Mccarthy Rd Nr Mccarthy Ak,AK
15210600,"Gilahina R At Mccarthy Rd Nr Chitina Ak, AK",Gilahina R At Mccarthy Rd Nr Chitina Ak,AK
15210700,"Chokosna R At Mccarthy Rd Nr Chitina Ak, AK",Chokosna R At Mccarthy Rd Nr Chitina Ak,AK
15236900,"Wolverine C Nr Lawing Ak, AK",Wolverine C Nr Lawing Ak,AK
15238951,"East Fork Martin R At Mouth Nr Homer Ak, AK",East Fork Martin R At Mouth Nr Homer Ak,AK
15238986,"Battle C 1.0 Mi Ab Mouth Nr Homer Ak, AK",Battle C 1.0 Mi Ab Mouth Nr Homer Ak,AK
15284000,"Matanuska R At Palmer Ak, AK",Matanuska R At Palmer Ak,AK
15291700,"Susitna R Ab Tsusena C Nr Chulitna Ak, AK",Susitna R Ab Tsusena C Nr Chulitna Ak,AK
15292000,"Susitna R At Gold Creek Ak, AK",Susitna R At Gold Creek Ak,AK
15292100,"Susitna R Nr Talkeetna Ak, AK",Susitna R Nr Talkeetna Ak,AK
15292400,"Chulitna R Nr Talkeetna Ak, AK",Chulitna R Nr Talkeetna Ak,AK
15292410,"Chulitna R Bl Canyon Nr Talkeetna Ak, AK",Chulitna R Bl Canyon Nr Talkeetna Ak,AK
15292700,"Talkeetna R Nr Talkeetna Ak, AK",Talkeetna R Nr Talkeetna Ak,AK
15292780,"Susitna R At Sunshine Ak, AK",Susitna R At Sunshine Ak,AK
15294345,"Yentna R Nr Susitna Station Ak, AK",Yentna R Nr Susitna Station Ak,AK
15294350,"Susitna R At Susitna Station Ak, AK",Susitna R At Susitna Station Ak,AK
15294630,"North Fork Crescent R Nr Tuxedni Bay Ak, AK",North Fork Crescent R Nr Tuxedni Bay Ak,AK
15294640,"Lake Fork Crescent R Nr Tuxedni Bay Ak, AK",Lake Fork Crescent R Nr Tuxedni Bay Ak,AK
15294650,"Crescent R Nr Mouth Nr Tuxedni Bay Ak, AK",Crescent R Nr Mouth Nr Tuxedni Bay Ak,AK
15294700,"Johnson R Ab Lateral Glacier Nr Tuxedni Bay Ak, AK",Johnson R Ab Lateral Glacier Nr Tuxedni Bay Ak,AK
15295700,"Terror R At Mouth Nr Kodiak Ak, AK",Terror R At Mouth Nr Kodiak Ak,AK
15298040,"Chulitna R 5Mi Ab Mouth Nr Port Alsworth Ak, AK",Chulitna R 5Mi Ab Mouth Nr Port Alsworth Ak,AK
15304010,"Crooked C Ab Airport Rd Nr Crooked Creek Ak, AK",Crooked C Ab Airport Rd Nr Crooked Creek Ak,AK
15392000,"Birch C Ab Twelvemile C Nr Miller House Ak, AK",Birch C Ab Twelvemile C Nr Miller House Ak,AK
15407500,"Harrison C Nr Central Ak, AK",Harrison C Nr Central Ak,AK
15547510,"Rock C 4 Mi Ab Bearpaw R Nr Kantishna Ak, AK",Rock C 4 Mi Ab Bearpaw R Nr Kantishna Ak,AK
15547520,"Caribou C 3.4 Mi Ab Crevice C Nr Kantishna Ak, AK",Caribou C 3.4 Mi Ab Crevice C Nr Kantishna Ak,AK
15547530,"Caribou C 2.6 Mi Ab Bearpaw R Nr Kantishna Ak, AK",Caribou C 2.6 Mi Ab Bearpaw R Nr Kantishna Ak,AK
15547560,"Glen C 150 Ft Ab Moose C Nr Kantishna Ak, AK",Glen C 150 Ft Ab Moose C Nr Kantishna Ak,AK
15547570,"Eureka C Nr Kantishna Ak, AK",Eureka C Nr Kantishna Ak,AK
15547575,"Slate C 2.1 Mi Ab Eldorado C Nr Kantishna Ak, AK",Slate C 2.1 Mi Ab Eldorado C Nr Kantishna Ak,AK
15547580,"Eldorado C 0.5 Mi Ab Mouth Nr Kantishna Ak, AK",Eldorado C 0.5 Mi Ab Mouth Nr Kantishna Ak,AK
15547590,"Friday C Nr Kantishna Ak, AK",Friday C Nr Kantishna Ak,AK
15547600,"Moose C 800 Ft Bl Friday C Nr Kantishna Ak, AK",Moose C 800 Ft Bl Friday C Nr Kantishna Ak,AK
15564880,"Sf Koyukuk R Nr Coldfoot Ak, AK",Sf Koyukuk R Nr Coldfoot Ak,AK
15565447,"Yukon R At Pilot Station Ak, AK",Yukon R At Pilot Station Ak,AK
15979970,"Sadlerochit Spring Nr Kaktovik, AK",Sadlerochit Spring Nr Kaktovik,AK
551527162482900,"Bluebill Lake Izembek Nwr Nr Cold Bay Ak, AK",Bluebill Lake Izembek Nwr Nr Cold Bay Ak,AK
551535162495200,"Rescue Lake Izembek Nwr Nr Cold Bay Ak, AK",Rescue Lake Izembek Nwr Nr Cold Bay Ak,AK
551620162511800,"Als Pond Izembek Nwr Nr Cold Bay Ak, AK",Als Pond Izembek Nwr Nr Cold Bay Ak,AK
551652162470300,"Hess Lake Izembek Nwr Nr Cold Bay Ak, AK",Hess Lake Izembek Nwr Nr Cold Bay Ak,AK
592514136174000,"Glacier C Nr Klukwan Ak, AK",Glacier C Nr Klukwan Ak,AK
600524155254200,"Chulitna R 0.4Mi Ab Nikabuna Lk Nr Nondalton Ak, AK",Chulitna R 0.4Mi Ab Nikabuna Lk Nr Nondalton Ak,AK
600610154570100,"Hoknede Lk C 0.4Mi Bl Hoknede Lk Nr Nondalton Ak, AK",Hoknede Lk C 0.4Mi Bl Hoknede Lk Nr Nondalton Ak,AK
601049154540600,"Koksetna R 0.1Mi Ab Mouth Nr Nondalton Ak, AK",Koksetna R 0.1Mi Ab Mouth Nr Nondalton Ak,AK
601050154544400,"Chulitna R 0.3Mi Ab Koksetna R Nr Nondalton Ak, AK",Chulitna R 0.3Mi Ab Koksetna R Nr Nondalton Ak,AK
602137152533500,"Crescent Lk 1.2 Mi Ab Outlet Nr Tuxedni Bay Ak, AK",Crescent Lk 1.2 Mi Ab Outlet Nr Tuxedni Bay Ak,AK
602212152561300,"Crescent Lk 2.8 Mi Ab Outlet Nr Tuxedni Bay Ak, AK",Crescent Lk 2.8 Mi Ab Outlet Nr Tuxedni Bay Ak,AK
602301152585200,"Crescent Lk 4.6 Mi Ab Outlet Nr Tuxedni Bay Ak, AK",Crescent Lk 4.6 Mi Ab Outlet Nr Tuxedni Bay Ak,AK
612310143164500,"Long Lake Site 1 Nr Mccarthy Ak, AK",Long Lake Site 1 Nr Mccarthy Ak,AK
613122149363701,"Sb01700234Acad1   003, AK",Sb01700234Acad1   003,AK
613339149062400,"Matanuska R Sl .1Mi Ab Sewage Outlet Nr Palmer Ak, AK",Matanuska R Sl .1Mi Ab Sewage Outlet Nr Palmer Ak,AK
613342149252701,"Sb01700115Dacb1  013, AK",Sb01700115Dacb1  013,AK
613450149273701,"Sb01700109Accd2  016, AK",Sb01700109Accd2  016,AK
613616149272601,"Sb01800133Dacb4   002, AK",Sb01800133Dacb4   002,AK
613634149214401,"Sb01800136Adab1, AK",Sb01800136Adab1,AK
613653149045600,"Matanuska R Sl .7Mi Ab Old Glenn Hwy Nr Palmer Ak, AK",Matanuska R Sl .7Mi Ab Old Glenn Hwy Nr Palmer Ak,AK
613928148585500,"Wolverine Lake C 0.1 Mi Bl Outlet Nr Palmer Ak, AK",Wolverine Lake C 0.1 Mi Bl Outlet Nr Palmer Ak,AK
614024149021600,"Moose C 200Ft Ab Mouth Nr Palmer Ak, AK",Moose C 200Ft Ab Mouth Nr Palmer Ak,AK
614104149031500,"Moose C 0.3 Mi Ab Glenn Hwy Nr Palmer Ak, AK",Moose C 0.3 Mi Ab Glenn Hwy Nr Palmer Ak,AK
614414148410300,"Matanuska R Sl Nr Mi 69 Glenn Hwy Nr Sutton Ak, AK",Matanuska R Sl Nr Mi 69 Glenn Hwy Nr Sutton Ak,AK
632833150523100,"Wonder Lk Site 2 Nr Center Nr Denali Natl Park Ak, AK",Wonder Lk Site 2 Nr Center Nr Denali Natl Park Ak,AK
632921150525600,"Wonder Lk Site 3 Nr N End Nr Denali Natl Park Ak, AK",Wonder Lk Site 3 Nr N End Nr Denali Natl Park Ak,AK
632937150525600,"Wonder Lk Site 4 Nr Inlet Nr Denali Natl Park Ak, AK",Wonder Lk Site 4 Nr Inlet Nr Denali Natl Park Ak,AK
632944150532000,"Lake C At Lake Outlet Nr Denali Natl Park Ak, AK",Lake C At Lake Outlet Nr Denali Natl Park Ak,AK
632945150530100,"Wonder Lk Trib At Park Rd Nr Denali Natl Park Ak, AK",Wonder Lk Trib At Park Rd Nr Denali Natl Park Ak,AK
633057150481100,"Moose C 100 Ft Ab Rainy C Nr Kantishna Ak, AK",Moose C 100 Ft Ab Rainy C Nr Kantishna Ak,AK
633328150455900,"Wf Glen C 0.8 Mi Ab Mouth Nr Kantishna Ak, AK",Wf Glen C 0.8 Mi Ab Mouth Nr Kantishna Ak,AK
633352150435500,"Ef Glen C 0.8 Mi Ab Mouth Nr Kantishna Ak, AK",Ef Glen C 0.8 Mi Ab Mouth Nr Kantishna Ak,AK
633631150501500,"Caribou C 0.3 Mi Bl Snowshoe C Nr Kantishna Ak, AK",Caribou C 0.3 Mi Bl Snowshoe C Nr Kantishna Ak,AK
633656150545800,"Caribou C 7.9 Mi Ab Bearpaw R Nr Kantishna Ak, AK",Caribou C 7.9 Mi Ab Bearpaw R Nr Kantishna Ak,AK
633914150561800,"Caribou C 4.8 Mi Ab Bearpaw R Nr Kantishna Ak, AK",Caribou C 4.8 Mi Ab Bearpaw R Nr Kantishna Ak,AK
635452151291200,"Chilchukabena Lk Site 1 Nr Lake Minchumina Ak, AK",Chilchukabena Lk Site 1 Nr Lake Minchumina Ak,AK
635526152120700,"Minchumina Lk Nr Minchumina Lake Ak, AK",Minchumina Lk Nr Minchumina Lake Ak,AK
693523142580300,"Aichilik R Site 1 Nr Kaktovik Ak, AK",Aichilik R Site 1 Nr Kaktovik Ak,AK
693737146013801,"Ua00302508    1S, AK",Ua00302508    1S,AK
694142145063301,"Ua00602817    1S, AK",Ua00602817    1S,AK
694147144121000,"Hulahula R Site 2 Nr Kaktovik Ak, AK",Hulahula R Site 2 Nr Kaktovik Ak,AK
694207143142300,"Okerokovik R Site 1 Nr Kaktovik Ak, AK",Okerokovik R Site 1 Nr Kaktovik Ak,AK
694306143142500,"Okerokovik R Site 2 Nr Kaktovik Ak, AK",Okerokovik R Site 2 Nr Kaktovik Ak,AK
694539144091500,"Hulahula R Site 1 Nr Kaktovik Ak, AK",Hulahula R Site 1 Nr Kaktovik Ak,AK
694733144490000,"Marsh C Nr Kaktovik Ak, AK",Marsh C Nr Kaktovik Ak,AK
695038146271000,"Canning R Nr Deadhorse Ak, AK",Canning R Nr Deadhorse Ak,AK
695225145120000,"Katakturuk R Nr Kaktovik Ak, AK",Katakturuk R Nr Kaktovik Ak,AK
695924143420301,"Unnamed Lake 9.6 Mi Se Of Kaktovik Ak, AK",Unnamed Lake 9.6 Mi Se Of Kaktovik Ak,AK
700137145312600,"Unnamed Lk Nr Canning R Delta Nr Kaktovik Ak, AK",Unnamed Lk Nr Canning R Delta Nr Kaktovik Ak,AK
700210143134000,"Unnamed Lk At Jago R Nr Kaktovik Ak, AK",Unnamed Lk At Jago R Nr Kaktovik Ak,AK
700313143435100,"Unnamed Lk 25 Nr Kaktovik Ak, AK",Unnamed Lk 25 Nr Kaktovik Ak,AK
700438145423500,"Canning R Delta E Channel Nr Kaktovik Ak, AK",Canning R Delta E Channel Nr Kaktovik Ak,AK
700450143100000,"Unnamed Lk Nr Jago R Nr Kaktovik Ak, AK",Unnamed Lk Nr Jago R Nr Kaktovik Ak,AK
700717143383401,"Navarakpuk Lake 0.5 Mi W Of Kaktovik Ak, AK",Navarakpuk Lake 0.5 Mi W Of Kaktovik Ak,AK
09380000,"Colorado River At Lees Ferry, AZ",Colorado River At Lees Ferry,AZ
09413700,"Virgin Rv Abv The Narrows Nr Littlefield, AZ",Virgin Rv Abv The Narrows Nr Littlefield,AZ
09415000,"Virgin Rv At Littlefield, AZ",Virgin Rv At Littlefield,AZ
09426630,"Bill Williams River At Lake Havasu, AZ",Bill Williams River At Lake Havasu,AZ
09481000,"Nogales Wash At Nogales, AZ",Nogales Wash At Nogales,AZ
09481710,"Santa Cruz River At Rio Rico, AZ",Santa Cruz River At Rio Rico,AZ
09481740,"Santa Cruz River At Tubac, AZ",Santa Cruz River At Tubac,AZ
09504420,"Oak Creek Near Sedona, AZ",Oak Creek Near Sedona,AZ
09504950,"Verde River Above Camp Verde, AZ",Verde River Above Camp Verde,AZ
312551110573901,"Nogales Wash At Ruby Road, AZ",Nogales Wash At Ruby Road,AZ
312654110573201,"Santa Cruz River Abv Nogales Wash, AZ",Santa Cruz River Abv Nogales Wash,AZ
312710110574201,"Santa Cruz River Blw Confluence Of Nogales Wash, AZ",Santa Cruz River Blw Confluence Of Nogales Wash,AZ
312724110580501,"Nogales Iwwtp At Outfall, AZ",Nogales Iwwtp At Outfall,AZ
312730110581301,"Nogales Iwwtp Downstream Of Outfall, AZ",Nogales Iwwtp Downstream Of Outfall,AZ
312750110582801,"Sonoita Creek Canyon Nr Rio Rico, AZ",Sonoita Creek Canyon Nr Rio Rico,AZ
312809110592801,"Santa Cruz River Nr Rio Rico, AZ",Santa Cruz River Nr Rio Rico,AZ
312843111000201,"Misc Agua Fria Canyon N Rio Rico, AZ",Misc Agua Fria Canyon N Rio Rico,AZ
313040111004601,"Misc Peck Canyon N Nogales, AZ",Misc Peck Canyon N Nogales,AZ
313148111011101,"Santa Cruz River At Palo Parado Bridge, AZ",Santa Cruz River At Palo Parado Bridge,AZ
313307111020201,"Josephine Canyon Nr Tumacacori, AZ",Josephine Canyon Nr Tumacacori,AZ
313343110024701,"Santa Cruz River At Santa Gertrudis Lane, AZ",Santa Cruz River At Santa Gertrudis Lane,AZ
313413111024400,"Santa Cruz River At Tumacacori Downstream Site, AZ",Santa Cruz River At Tumacacori Downstream Site,AZ
313436111025101,"Santa Cruz River At Anza Trail Crossing, AZ",Santa Cruz River At Anza Trail Crossing,AZ
313542111025801,"Santa Cruz River At Clarks Crossing, AZ",Santa Cruz River At Clarks Crossing,AZ
320855110360300,"Lower Madrona Creek At Saguaro Natl Park East, AZ",Lower Madrona Creek At Saguaro Natl Park East,AZ
